artist,album,num_songs
Kendrick Lamar,What’s Poppin Volume 1,1
Drake,Finally Famous Vol. 3: BIG,1
Drake,Relapse: Refill,1
Lil Wayne,Legendary (Deluxe Edition),2
Drake,Verzuz: Gucci Mane x Jeezy (Live),1
Drake,Trap Music: FBG The Movie Edition,1
Drake,"C,XOXO (Magic City Edition)",1
Lil Wayne,Queen Radio: Volume 1,4
Kendrick Lamar,The Melodic Blue (Deluxe),4
Lil Wayne,Where Is Kidd Kidd?,1
Kendrick Lamar,Oxnard,1
Dave,FARA FARA GANG - BDLM EXTENSION,1
Drake,Trip At Knight (Complete Edition),1
Kendrick Lamar,Ransom,1
Lil Wayne,The World Is Yours,1
Lil Wayne,RevolveR,1
Kanye West,Kon the Louis Vuitton Don,2
Drake,Essentials,2
Drake,Queen Radio: Volume 1,3
Kendrick Lamar,Oxymoron (10th Anniversary),1
Lil Wayne,Attack the Block,1
Dave,LA Leakers Freestyles,1
Kanye West,LAX,1
Kanye West,The Spirit of Apollo,1
Kanye West,Get Well Soon...,4
Dave,Titanium & Mercury,2
Kanye West,My Name Is My Name,3
Lil Wayne,Journals,1
Lil Wayne,American Honey (Original Motion Picture Soundtrack),1
Kanye West,"The Hits Collection, Volume One",2
Lil Wayne,Pricele$$,3
Kendrick Lamar,KL7*,1
Kanye West,Be (20th Anniversary),5
Lil Wayne,Rhythm & Bricks,1
Kendrick Lamar,LONG.LIVE.A$AP (Deluxe Edition),2
Kanye West,Def Poetry Jam,1
Lil Wayne,Emmanuel,1
Lil Wayne,The Forever Story (Extended Version),1
Lil Wayne,Rich Gang (Deluxe),3
Dave,Mind The Gap,1
Kendrick Lamar,Born Sinner (Deluxe Version),1
Kanye West,Pink Friday (Complete Edition),1
Lil Wayne,Feed The Streets 8,1
Lil Wayne,Chixtape 5,1
Lil Wayne,All Over The Place (Deluxe),1
Lil Wayne,American Gangster,1
Lil Wayne,We The Best,4
Lil Wayne,Deeper Than Rap,1
Lil Wayne,Folie à Deux (Bonus Track Version),1
Lil Wayne,iTunes Originals - Weezer,1
Kanye West,Purple Haze,1
Kanye West,NASIR,3
Lil Wayne,The Letter “O”,1
Drake,So Far Gone (EP),2
Lil Wayne,Everybody Can’t Go,1
Kendrick Lamar,BET Hip Hop Awards Cyphers (2006–Present),3
Kanye West,Finally Famous Vol. 3: BIG,1
Kendrick Lamar,X,1
Lil Wayne,The Abstract and The Dragon,1
