artist,album,song_title,lexical_complexity,rhyme_complexity,semantic_depth,narrative_structure,emotional_expressiveness,composite_score
Kendrick Lamar,What’s Poppin Volume 1,My Mind Drifts,0.5157372900585173,0.18669260618538094,0.3918532624972498,0.6297409621538399,0.4436202111941838,0.41137644861941147
Drake,Finally Famous Vol. 3: BIG,Made,0.45133785678933563,0.40292993871019056,0.8586157176734273,0.6687396467349799,0.6049407250253285,0.584022291585413
Lil Wayne,Tha Carter III (Deluxe Revised),Kush,0.3675776745152333,0.5057305251430535,0.5605100437162687,0.6847144683552537,0.15916021817670944,0.4465893888206937
Drake,Relapse: Refill,Forever,0.2872585216351154,0.35003319188177795,0.7849607919083933,0.6906219233636833,0.6708597743644504,0.5397174040565889
Drake,Thank Me Later,Karaoke,0.40944617260800037,0.12803824228589844,0.6389256658945109,0.6299724598776459,0.5163853131735333,0.43945685988833044
Lil Wayne,Legendary (Deluxe Edition),Lightskin Lil Wayne,0.30263799965735694,0.6177266911608285,0.5919251622476236,0.6466216726143088,0.45169530613573255,0.5206766172904961
Drake,Verzuz: Gucci Mane x Jeezy (Live),Both,0.3335579564426784,0.2051873627082034,0.6150898826795963,0.7195487226389732,0.0,0.3489587168973518
Lil Wayne,I Am Not a Human Being II,Trigger Finger,0.3413999786333077,0.4576898958203366,0.5176196738447503,0.6302008358398362,0.5570403213392674,0.4921645940945247
Kanye West,Yeezus,Hold My Liquor,0.28500018250967407,0.4717203854747493,0.551610874841664,0.6593710313314363,0.6005757906137428,0.5042731206614189
Drake,Trap Music: FBG The Movie Edition,Fo’ Real,0.3115402089774959,0.3498454871704976,0.7244793737755796,0.6832108147285385,0.638517676619012,0.5248504458763227
Drake,"C,XOXO (Magic City Edition)",HOT UPTOWN,0.403615837248296,0.18679382835351108,0.5650388303611853,0.6337994881815663,0.575394765483954,0.45057826693429975
Kanye West,Unknown,Someday We’ll All Be Free,0.3532632798554675,0.7631011815470475,0.5376911334501174,0.6429020572615621,0.826258156070025,0.6306531178511182
Lil Wayne,Queen Radio: Volume 1,Truffle Butter,0.47073377451156856,0.43640308923275656,0.6819600137955151,0.630081741188272,0.17602265416090104,0.4693563219800269
Drake,Scorpion,Is There More,0.3575690242867635,0.1538656250775399,0.6131622288357846,0.6511609432198259,0.4592960683768995,0.4221460120522484
Kendrick Lamar,The Melodic Blue (Deluxe),range brothers,0.36599957603372785,0.45510503486032045,0.7093233408072971,0.6291883745643166,0.39074409460455184,0.501367917188843
Lil Wayne,Where Is Kidd Kidd?,That’s My Nigga (Do It for the Boy),0.2009434254111101,0.7558662842197305,0.6283916430090462,0.6942851308894494,0.4403729912198544,0.5470509526163522
Kendrick Lamar,Unknown,For the Girlfriends,0.3808838235215824,0.22828561101179135,0.703878222737747,0.6744936779270346,0.22511502269401518,0.42022086823267196
Drake,Scorpion,Jaded,0.33433520512120923,0.5293198165399855,0.6713409038268691,0.6789155084939578,0.4548958872386515,0.5262816796464359
Kanye West,Unknown,All Day,0.3486791786767879,0.802220720465934,0.5451866087556089,0.6503859152219675,0.00560410189537163,0.47800704526533233
Kendrick Lamar,Oxnard,Tints,0.28863287140197597,0.5759888859173206,0.6773044633653716,0.6849653321730194,0.5553239415414967,0.5509942765670519
Drake,More Life,Since Way Back,0.2636852034968511,0.6620644721157214,0.5039600444566223,0.6719914767084441,0.5547284830148346,0.5307895857288586
Dave,FARA FARA GANG - BDLM EXTENSION,CABREL,0.3985351634912302,0.1390699059637018,0.49013066226535656,0.675392074485432,0.69616561018903,0.4530425748528636
Kanye West,Unknown,E.T. (Remix) (Video Version),0.47768707853895986,0.680244695042351,0.6224820908504091,0.613587798939498,0.5420682804396059,0.5905468335673074
Kendrick Lamar,GNX,wacced out murals,0.35800096907261164,0.11426797695489421,0.778752149843105,0.6707683390844039,0.8125127007095369,0.5190354090264349
Kanye West,Unknown,Fall Out of Heaven (Demo),0.3611094742261104,0.1343306521850504,0.6237731842981243,0.5808151993061788,0.6181898849192067,0.4413194516308777
Drake,"Honestly, Nevermind",Falling Back,0.22568085786287065,0.7865206130767645,0.400489225237038,0.7273642438323764,0.12408044928261902,0.45578489632055313
Drake,Trip At Knight (Complete Edition),Betrayal,0.5131524434604423,0.3265279983605717,0.6606407706090947,0.587631612597142,0.010538148129340131,0.4066430139194897
Kanye West,Unknown,LA Monster,0.4508530775105447,0.2734655935044904,0.4596634394504129,0.5801375908693929,0.7240621088646298,0.482302762171649
Lil Wayne,I Am Not a Human Being II,IANAHB,0.48888061028207713,0.0692845442395311,0.6928836287408797,0.6520572507114981,0.5684840158531699,0.46517937464183284
Kendrick Lamar,Ransom,Buy the World,0.33286976405634844,0.42043829465697335,0.4309257869267465,0.6932565976492573,0.17111369391154577,0.3960799122905601
Kanye West,The College Dropout,Graduation Day,0.39309113785269956,0.21085820449471482,0.5318693481797367,0.6424958978274709,0.2660665841182907,0.38729434982794475
Drake,Certified Lover Boy,Girls Want Girls,0.28284333478137114,0.4175859039530333,0.7156829605298508,0.6752684400793635,0.37959535457027427,0.4813110719764621
Lil Wayne,The World Is Yours,End of Discussion,0.3613796479073262,0.7872361425534413,0.5139988733973289,0.6447110935975653,0.21342754592495142,0.5112769131239164
Drake,For All The Dogs: Scary Hours Edition,What Would Pluto Do,0.3770457297288575,0.2447342397612214,0.6484556126959046,0.6384167281010773,0.42620616852441146,0.44728757134530167
Lil Wayne,RevolveR,Bang Bang Pow Pow,0.28553175864484737,0.5296634048875454,0.6151290831737837,0.6949965178605563,0.19089999390938353,0.4549774960465727
Kendrick Lamar,Unknown,Grammy 2016 Performance,0.32481837916073064,0.29655226547081154,0.8429741156242606,0.6751924808157849,0.7345897041663829,0.5558933782803455
Kanye West,Kon the Louis Vuitton Don,Better Than Yours,0.34933807725563903,0.2764136381812882,0.7740194085545564,0.6641457873999072,0.5383765930439758,0.5010720934261425
Drake,Essentials,Only,0.3522548563448843,0.26565848357199984,0.7555945173162685,0.6619655904989109,0.08082742493422869,0.4034448191869129
Drake,Queen Radio: Volume 1,Moment 4 Life,0.3304576678038169,0.3551513909524054,0.6617902522778102,0.7129950319098214,0.6654280943341928,0.5272723054077386
Kendrick Lamar,Oxymoron (10th Anniversary),Collard Greens,0.3907769163888507,0.39806277457339406,0.6725173451452598,0.6414760309169829,0.593717735767361,0.5271394977411903
Lil Wayne,Attack the Block,Celebrate,0.29594319999979946,0.3282092158571485,0.860811471694925,0.6781916605002827,0.6589953528407744,0.5469310579464293
Dave,LA Leakers Freestyles,Dave Freestyle | LA Leakers Freestyle #007,0.3846654099290539,0.21555841986255933,0.8657472621446232,0.6757737461601484,0.6075762728124485,0.5268534558668873
Drake,Unknown,Mention Me,0.38604215665163455,0.703095454863786,0.5607818335962782,0.6642625285645252,0.10624783570792007,0.4860276081917918
Dave,Unknown,Game Of Thrones*,0.46324962233161754,0.17048519897548006,0.7302599558773809,0.6629121479671601,0.10817860164290764,0.40239575790932525
Drake,Dark Lane Demo Tapes,Time Flies,0.3805957440133493,0.3069896279677684,0.6407855065593874,0.6624621007480673,0.584042660985032,0.497201504415706
Kanye West,JESUS IS KING,Selah,0.49664531616237445,0.8531174752804959,0.7814978774200911,0.673310497109536,0.4749335101027958,0.6648912841236067
Lil Wayne,Da Drought 3,Get High Rule the World,0.38300833249452626,0.2121800876576881,0.7096182482879867,0.6663996368895401,0.4492026109451981,0.4613708057933953
Drake,So Far Gone,Successful,0.40057715740493227,0.5031839128106321,0.810544765715075,0.6883758330462889,0.7228503344538235,0.6158468046743676
Drake,For All The Dogs: Scary Hours Edition,Red Button,0.5085930613172079,0.46942465103711145,0.7447052140651645,0.6797038258327104,0.1386384579417813,0.49769908329901513
Kanye West,LAX,Angel,0.5910296232861495,0.13433065218505047,0.24229762984416425,0.0,0.0,0.20024811367232537
Kanye West,Unknown,Lift Yourself,0.3958504260872987,0.5601925226426745,0.1526878882780933,0.6400388494929319,0.020849669417189083,0.34993155484112465
Kanye West,The Spirit of Apollo,Gifted,0.3271425980803403,0.1252143315018887,0.7259510520947585,0.6713891782321398,0.4769871542055447,0.4380281204864219
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe Version)",m.A.A.d city,0.40380016632718735,0.11418630809829913,0.6535178640086163,0.6272467599241909,0.6703220655082017,0.46816161018200453
Kanye West,Get Well Soon...,Two Words,0.4502826501176388,0.4498678154139543,0.6457313151278714,0.619497126016992,0.5310014844382902,0.5307946126927975
Kanye West,Late Registration,Late,0.33795744629314156,0.40998910392887067,0.7207312755986621,0.6606831751550585,0.10434930286862283,0.4342073572075617
Kendrick Lamar,GNX,tv off,0.35533943640367316,0.40368852677732797,0.6893550419702538,0.6570350198341557,0.22703688547185136,0.453823657438611
Kendrick Lamar,Unknown,Abortion Money,0.3750522706736852,0.20209128498727733,0.8109124119541254,0.6579047393801007,0.5625729805145249,0.49891606478230155
Dave,Titanium & Mercury,Mercury,0.3640529113672943,0.18496710668010583,0.8896790613868626,0.6590252329917494,0.7431749328529544,0.5444769427402112
Drake,More Life,More Life: Editor’s Note,0.6465347903834415,0.1858258275709928,0.5721758459284642,0.5603556736735048,0.0,0.37425193520615513
Kanye West,My Name Is My Name,Pain,0.3182000027325442,0.41569234247066056,0.5509483704425103,0.6585918605107866,0.7528126777932683,0.5271040748879476
Kanye West,Unknown,FourFiveSeconds,0.336089285394727,0.12907706078701064,0.5262726184988352,0.654778135906798,0.34979154421131214,0.37291667520374727
Lil Wayne,Journals,Backpack,0.3281371981595247,0.1621906065685949,0.6338987181151498,0.6313915639513143,0.67132433052702,0.46192843559518476
Lil Wayne,Tha Carter VI (Bonus),Cotton Candy,0.48448196261655113,0.26716973594699356,0.6614197966982894,0.613084683981267,0.13587854205368352,0.4151111968576433
Kanye West,Kanye West Presents: Good Music - Cruel Summer,Bliss,0.2540797444490968,0.14010868130961188,0.7654481689700231,0.6293848172502162,0.823367617774071,0.4980139991535736
Lil Wayne,Tha Carter IV,Outro,0.44678888943997885,0.03716801127415858,0.8457464596420518,0.6264895057038837,0.565275209696634,0.47482754042985514
Kendrick Lamar,To Pimp a Butterfly,Institutionalized,0.40214184686994653,0.18633256883351018,0.6713500645238087,0.6031853053408528,0.5824630987884112,0.46825194004593873
Lil Wayne,American Honey (Original Motion Picture Soundtrack),I Like Tuh (Remix),0.21515013463555438,0.2847453766707254,0.3782104487430115,0.6984748647622051,0.0,0.2946296905577253
Lil Wayne,Unknown,Work Hard Play Hard (Remix),0.44997227405894347,0.2508055972413928,0.46511787847271857,0.6322514081666559,0.14206995905502728,0.36897113285268446
Kendrick Lamar,Unknown,Picture Me Rollin’ (Remix),0.4264268720165498,0.1764664314699559,0.8780695279648381,0.6462805571944223,0.6488422760853655,0.531726426660003
Lil Wayne,Dedication 6: Reloaded,Gumbo,0.4479982246517412,0.45778472257800096,0.5701010726893442,0.663614672741259,0.18373068774576684,0.4543543785730595
Drake,For All The Dogs: Scary Hours Edition,Slime You Out,0.38752685836545137,0.1888805223543481,0.6554978516690751,0.6684072055419346,0.2700718008890156,0.41010051360458566
Drake,Dark Lane Demo Tapes,War,0.44043619481780144,0.22259344590338817,0.723666613489765,0.6452305211554413,0.4951861364371309,0.48429072859810274
Kanye West,"The Hits Collection, Volume One",Encore,0.2962436744300322,0.21854818186653313,0.7217882574241704,0.6672027089462748,0.09471278178983936,0.37726639453738287
Dave,PSYCHODRAMA,Environment,0.37274667174448733,0.08632819304267633,0.8582630630160485,0.6427337337717792,0.6240814803154786,0.48901035134163895
Drake,$ome $exy $ongs 4 U,GREEDY,0.27751037128726275,0.589342494328039,0.5757247557222435,0.6501906441511177,0.3426554753690459,0.4840423406803878
Drake,"Honestly, Nevermind",Massive,0.3333129000041947,0.31668953137778383,0.35027125305323575,0.7078282857065311,0.2780875579308394,0.37768096789807964
Drake,If You’re Reading This It’s Too Late,You & The 6,0.31839619770336147,0.41581496423352393,0.7502969368553964,0.6950532097299928,0.799674503103867,0.5818852500504049
Drake,For All The Dogs: Scary Hours Edition,Away From Home,0.5088872298428447,0.4011824678354725,0.749234647672807,0.6864209009270104,0.43976636463724667,0.5428364005284994
Dave,Unknown,Back to Back,0.3878012605696467,0.13894767703413066,0.6789894490003532,0.6579972694629146,0.22371907852911518,0.3915384672977929
Drake,Unknown,Wildfire (OVO Remix),0.3688715082793367,0.08992559955826522,0.7770807387869081,0.6363051593761379,0.5588773089236571,0.45889308499396736
